mention_id	volume	host_xml_id	host_person_id	host_heading	surname_token	mention_name	verdict	method	resolved_hub_id	resolved_heading	candidate_hub_ids	candidate_headings	candidate_scores	family_cluster	chips	gold_hub_id	gold_agrees	sentence
M-volume_1IIIorg-NOXID-גליקמאַן-004	1	facs_38_tr_1740521016	P-1-facs_38_tr_1740521016	אויערבאַך, סעם	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1789|HUB-D1793|HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch	HUB-D1790		שיקאָגאַ (מיט גליקמאַן — 2 סעזאָנען)
M-volume_1IIIorg-NOXID-גליקמאַן-025	1	facs_402_r_3	P-1-facs_402_r_3	זיידענבערג, לעאָן [דוד-לייב זיידענווערג]	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|year:1927|family-cluster|gender-mismatch|career-overlap	HUB-D1790		שפּילט דערנאָך אין 1927-28 ביי גליקמאַן און מיכאָלעסקאָ אין שיקאָגאָ
M-volume_1IIIorg-NOXID-גליקמאַן-026	1	facs_405_r_4	P-1-facs_405_r_4	זילבּערט, יעקב [קוליש]	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1789|HUB-D1793|HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch	HUB-D1790		דעם קומענדן סעזאָן שפּילט ז. אין שיקאָגאָ ביי גליקמאַן
M-volume_1IIIorg-NOXID-גליקמאַן-005	1	facs_50_tr_1740521042	P-1-facs_50_tr_1740521042	אַמאַסיאַ, אַלעקס [אלעקסאַנדער]	גליקמאן	גליקמאַן	RESOLVED	scored	HUB-D3637	גליקמאַן, רעניאַ (רבקה)	HUB-D3637|HUB-D1789|HUB-D1790|HUB-D1791|HUB-D1792|HUB-D1793|HUB-D1794|HUB-D1795	גליקמאַן, רעניאַ (רבקה)|גליקמאַן, עליאַס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]|גליקמאַן, מאַרקוס|גליקמאַן, מעכעלע|גליקמאַן, יעקב	0.3|0.05|0.05|0.05|0.05|0.05|0.05|0.05	1	gender:unknown|family-cluster|gender-mismatch	HUB-D1790	0	1 סעזאָן אין שיקאַגאַ ביי גליקמאַן
M-volume_1IIIorg-NOXID-גליקמאַן-006	1	facs_78_tr_1740521049	P-1-facs_78_tr_1740521049	באָקשיצקי,לואיס [לייב]	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1789|HUB-D1793|HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch	HUB-D1790		2 יאָר אין שיקאָגאָ ביי גליקמאַן
M-volume_1IIIorg-NOXID-גליקמאַן-007	1	facs_80_tr_1740521116	P-1-facs_80_tr_1740521116	באַראַץ, דוד	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1789|HUB-D1793|HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch	HUB-D1790		ביי גליקמאַן אין שיקאַגאַ
M-volume_1IIIorg-NOXID-גליקמאַן-008	1	facs_89_tr_1740521007	P-1-facs_89_tr_1740521007	בודקין, מישע	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|year:1927|family-cluster|gender-mismatch|career-overlap	HUB-D1790		איז באָלד דערויף אָנגאַזשירט געוואָרן צו גליקמאַנען אין שיקאָגאָ
M-volume_2IIIorg-NOXID-גליקמאַן-039	2	facs_111_tr_1744279150	P-2-facs_111_tr_1744279150	לאַקס, אַברהם	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|year:1928|family-cluster|gender-mismatch|career-overlap	HUB-D1790		1928-29 — ביי גליקמאַן (שיקאגאָ)
M-volume_2IIIorg-NOXID-גליקמאַן-040	2	facs_232_tr_1744280751	P-2-facs_232_tr_1744280751	מאָריס, סעם [שמואל-משה גאַנז]	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1789|HUB-D1793|HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch	HUB-D1790		ער נעמט וואַנדערן איבער די פּראָווינץ-טרופּעס (אין שיקאָגאָ ביי גליקמאַן... ווידער ביי גליקמאַן)
M-volume_2IIIorg-NOXID-גליקמאָן-007	2	facs_308_tr_1744365759	P-2-facs_308_tr_1744365759	נאַטאַנסאָן, דזשוליוס (יוליוס, חנינא)	גליקמאן	גליקמאָן	AMBIGUOUS	family_abstain_suggested			HUB-D1789|HUB-D1793|HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch	HUB-D1790		דערנאָך אַריין אין גליקמאָןס טעאַטער אַלס גאַרדעראָבער
M-volume_2IIIorg-NOXID-גליקמאַן-041	2	facs_327_tr_1744365754	P-2-facs_327_tr_1744365754	סאַמאָלעסקאָ, דעיוו	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1789|HUB-D1793|HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch	HUB-D1790		דערנאָך אין סט. לואיס, וואו ער רופט אַריין פֿון גאָס באָזוכער פֿאַר גליקמאַןס רוסישן כאָר.
M-volume_2IIIorg-NOXID-גליקמאַן-042	2	facs_361_tr_1744366818	P-2-facs_361_tr_1744366818	סעגאַל, באָריס	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|year:1904|family-cluster|gender-mismatch|career-overlap	HUB-D1790		דערנאָך געוואָרן דיריגענט אין דער וואַריעטע-טרופּע גליקמאַן ביז 1904
M-volume_2IIIorg-2-facs_407_r_2-גליקמאָן-000	2	facs_407_r_2	P-2-facs_407_r_2	ערבער, עני (פּראַנקענבערג]	גליקמאן	גליקמאָן	AMBIGUOUS	family_abstain_suggested			HUB-D1789|HUB-D1793|HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch	HUB-D1790		וואו זי שפּילט קינדער-ראָלן אין גליקמאָןס טעאַטער
M-volume_2IIIorg-NOXID-גליקמאָן-006	2	facs_46_tr_1744131404	P-2-facs_46_tr_1744131404	טייטעלבוים, אַברהם (=שלום, סעם)	גליקמאן	גליקמאָן	AMBIGUOUS	family_abstain_suggested			HUB-D1789|HUB-D1793|HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch	HUB-D1790		דערנאָך ווערט ער איינגעלאדן קיין שיקאגאָ אַלס רעזשיסער און אַקטיאָר אין גליקמאָןס פּאלאַס-טעאַטער
M-volume_2IIIorg-NOXID-גליקמאַן-036	2	facs_47_tr_1744131441	P-2-facs_47_tr_1744131441	טייטעלבוים, חנה [אַננאַ דרוקער]	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|year:1920|family-cluster|gender-mismatch|career-overlap	HUB-D1790		וואו זי שפּילט צוערשט אין שיקאגאָ ביי גליקמאַן
M-volume_2IIIorg-NOXID-גליקמאַן-037	2	facs_52_tr_1744131407	P-2-facs_52_tr_1744131407	טעפּליצקי, מענדעל	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|year:1929|family-cluster|gender-mismatch|career-overlap	HUB-D1790		דעם 2 אַפּריל 1929 אין שיקאַגאָ אין גליקמאַןס פּאַלאַס-טעאַטער
M-volume_2IIIorg-NOXID-גליקמאַן-038	2	facs_65_tr_1744131350	P-2-facs_65_tr_1744131350	יאַנאָווער, דוד	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|year:1921|family-cluster|gender-mismatch|career-overlap	HUB-D1790		אין גליקמאַןס פּאַלאַס-טעאַטער אין שיקאַגא
M-Volume_3IIIorg-NOXID-גליקמאַן-000	3	facs_342_tr_1756107070	P-3-facs_342_tr_1756107070	ביראָ, פעלאַ [פֿיינרייך]	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1789|HUB-D1793|HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch	HUB-D1790		"טרעט זי אויף אין „ליראַ"" מיט די אַקטיאָרן הערשקאָוויטש, לאָשקאָווסקאַ, צימבאַליסט, אייזענבערג און גליקמאַן אין אַ ריי פּיעסן"
M-Volume_3IIIorg-NOXID-גליקמאַן-001	3	facs_398_r_2	P-3-facs_398_r_2	פישביין, כנימין	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D3637|HUB-D1789|HUB-D1793|HUB-D1795|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, יעקב|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.3|0.3|0.3|0.05|0.05|0.05	1	gender:male|year:1924|family-cluster|gender-mismatch|career-overlap	HUB-D1790		"געקומען אין אַמעריקע און אויפֿגעטראָטן אַלס „לייזער בדחן“ אין גאָרדינס „גאַט, מענטש און טייוול"" אין גליקמאַנס „פּאַלאַס“-טעאַטער."
M-Volume_4IIIorg-NOXID-גליקמאַן-033	4	facs_248_tr_1754998565	P-4-facs_248_tr_1754998565	שעהנהאָלץ, דוד	גליקמאן	גליקמאַן	RESOLVED	within_entry	HUB-D1789	גליקמאַן, עליאַס	HUB-D1789|HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, עליאַס|גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.95|0.4|0.4|0.4|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|within-entry|co-mention|gender-mismatch|career-overlap	HUB-D1790	0	הייבט אָן שפּילן ביי גליקמאַן אין „לייסעאום טעאַטער“.
M-Volume_4IIIorg-NOXID-גליקמאַן-034	4	facs_322_tr_1754998436	P-4-facs_322_tr_1754998436	שנייער, רע[כיענע רייזל פּעימאַן]	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch|career-overlap	HUB-D1790		דערנאָך צוויי סעזאָנען ביי גליקמאַן אין שיקאַגאָ
M-Volume_4IIIorg-NOXID-גליקמאַן-035	4	facs_352_tr_1754998404	P-4-facs_352_tr_1754998404	פֿרידמאַן, יצחק	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|year:1926|family-cluster|gender-mismatch|career-overlap	HUB-D1790		1926-28 — געשפּילט אין שיקאַגאָ ביי גליקמאַן
M-Volume_4IIIorg-NOXID-גליקמאַן-031	4	facs_39_tr_1752612112	P-4-facs_39_tr_1752612112	ראָזענשטיין, סעמועל [שמואל]	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|year:1928|family-cluster|gender-mismatch|career-overlap	HUB-D1790		1928-9 — אין שיקאַגאָ ביי גליקמאַן.
M-Volume_4IIIorg-NOXID-גליקמאַן-032	4	facs_87_tr_1753938277	P-4-facs_87_tr_1753938277	שענקמאַן, זיגמונד (זיינוול]	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch|career-overlap	HUB-D1790		ביי גליקמאַן אין שיקאַגער „מעטראָפּאָליטאָן'-טעאַטער
M-volume6IIIorg-NOXID-גליקמאַן-029	6	facs_103_tr_1747825052	P-6-facs_103_tr_1747825052	ראָזענבלום אַדאָלף [אהרן]	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch|career-overlap	HUB-D1790		טרעט ר. אויף אין שיקאַגאָ ביי גליקמאַן אַלס קאָמיקער אין „די גאָלדענע מדינה“
M-volume6IIIorg-NOXID-גליקמאַן-030	6	facs_611_r_33	P-6-facs_611_r_33	אָסטראָווסקי, סעם (שמואל)	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1789|HUB-D1793|HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch	HUB-D1790		"יאָזעף שעהנגאָלד האָט אויפֿגעפֿירט אין גליקמאַנס „פּאלאַס""-טעאַטער"
M-volume6IIIorg-NOXID-גליקמאַן-027	6	facs_65_tr_1747746178	P-6-facs_65_tr_1747746178	רינגלער, דזשאַנעט	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch|career-overlap	HUB-D1790		צו סעזאָנען ביי גליקמאַן אין שיקאַגע
M-volume6IIIorg-NOXID-גליקמאַן-028	6	facs_70_tr_1747746125	P-6-facs_70_tr_1747746125	פרענק, יעקב	גליקמאן	גליקמאַן	AMBIGUOUS	family_abstain_suggested			HUB-D1794|HUB-D1795|HUB-D3637|HUB-D1789|HUB-D1793|HUB-D1790|HUB-D1791|HUB-D1792	גליקמאַן, מעכעלע|גליקמאַן, יעקב|גליקמאַן, רעניאַ (רבקה)|גליקמאַן, עליאַס|גליקמאַן, מאַרקוס|גליקמאַן, אַסתר|גליקמאַן, עטל [גליק]|גליקמאַן, מאלווינע [פלאַקסבוים]	0.4|0.4|0.4|0.3|0.3|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch|career-overlap	HUB-D1790		פֿ. ווערט דורך גליקמאַן אָנגאַזשירט קיין שיקאַגאָ
M-volume_2IIIorg-NOXID-גנענדל-000	2	facs_303_tr_1744365806	P-2-facs_303_tr_1744365806	נאַדיר, משה [יצחק רייז]	גנענדל	גנענדל	RESOLVED	unique_candidate	HUB-D1741	גענדעל, הירש	HUB-D1741	גענדעל, הירש	0.3	0	gender:male	HUB-D1741	1	"וועלכער דער מיטגליד פֿון „אַרטעף“ גנענדל האָט געלייענט דעם 20 מערץ 1932 אויפֿן 6-טן יוביליי פֿון ""אַרטעף“"
M-volume_1IIIorg-NOXID-געביל-006	1	facs_101_r_4	P-1-facs_101_r_4	בלאָכמאַן, קיידי [קיילע מייעראָוויטש]	געביל	געביל	AMBIGUOUS	family_abstain_suggested			HUB-D1715|HUB-D1716	געביל, הערי|געביל, מאַקס [מנחם-מענדעל, נחום]	0.3|0.3	1	gender:male|family-cluster	HUB-D1715		אין וואָדעוויל-פּעריאָד שפּילט זי אין געבילס וואָדעוויל-טרופּע.
M-volume_1IIIorg-NOXID-געביל-007	1	facs_103_tr_1740521114	P-1-facs_103_tr_1740521114	בלום אַברהם	געביל	געביל	AMBIGUOUS	family_abstain_suggested			HUB-D1715|HUB-D1716	געביל, הערי|געביל, מאַקס [מנחם-מענדעל, נחום]	0.3|0.3	1	gender:male|family-cluster	HUB-D1715		ב. איז די לעצטע 3 יאָר געווען פובליסיטי-אָגענט ביי געביל
M-volume_1IIIorg-NOXID-געביל-008	1	facs_104_tr_1740521041	P-1-facs_104_tr_1740521041	בלום הענרי [היינריך]	געביל	געביל	AMBIGUOUS	family_abstain_suggested			HUB-D1715|HUB-D1716	געביל, הערי|געביל, מאַקס [מנחם-מענדעל, נחום]	0.3|0.3	1	gender:male|family-cluster	HUB-D1715		פֿאָרט אַרום איבער דער פּראָווינץ מיט די טרופּעס פֿון אָדלער, קעסלער, טאָמאָשעווסקי, בלאַנק, מאָקס ראָזענטאָל און געביל
M-volume_1IIIorg-NOXID-געביל-009	1	facs_105_tr_1740521098	P-1-facs_105_tr_1740521098	בלום סעם [אַלעקסאַנדער]	געביל	געביל	AMBIGUOUS	family_abstain_suggested			HUB-D1715|HUB-D1716	געביל, הערי|געביל, מאַקס [מנחם-מענדעל, נחום]	0.3|0.3	1	gender:male|year:1921|family-cluster	HUB-D1715		1921-22 ביז געביל אין מאונט מאָריס-טעאַטער
M-volume_1IIIorg-NOXID-געביל-011	1	facs_106_r_2	P-1-facs_106_r_2	בלייך, יהודה	געביל	געביל	AMBIGUOUS	family_abstain_suggested			HUB-D1715|HUB-D1716	געביל, הערי|געביל, מאַקס [מנחם-מענדעל, נחום]	0.3|0.3	1	gender:male|year:1926|family-cluster	HUB-D1715		אין 1926 שפּילט ער ביי געביל.
M-volume_1IIIorg-NOXID-געביל-010	1	facs_106_tr_1740520993	P-1-facs_106_tr_1740520993	בליי העלען [יונה]	געביל	געביל	AMBIGUOUS	family_abstain_suggested			HUB-D1715|HUB-D1716	געביל, הערי|געביל, מאַקס [מנחם-מענדעל, נחום]	0.3|0.3	1	gender:male|family-cluster	HUB-D1715		פֿון דאָן אָן שפּילט זיי פֿון צייט צו צייט אין אוירווינג פּלייס, אין האָפּקינסאָן-טעאַטער, ביי געביל
M-volume_1IIIorg-NOXID-געביל-012	1	facs_119_tr_1740521161	P-1-facs_119_tr_1740521161	בערנאַרדי בערל [טאָפּ]	געביל	געביל	AMBIGUOUS	family_abstain_suggested			HUB-D1715|HUB-D1716	געביל, הערי|געביל, מאַקס [מנחם-מענדעל, נחום]	0.3|0.3	1	gender:male|family-cluster	HUB-D1715		3 סעזאָנען ביז געביל אין ניו יאָרק
